currency_code, currency_name, exchange_rate_to_usd,country_code,symbol,active,allow_updated_from_web,created_by
AED,United Arab Emirates Dirham,3.67268,10,,true,true,system
AFN,Afghan Afghani,57.392301,4,,true,true,system
ALL,Albanian Lek,109.3524,8,,true,true,system
AMD,Armenian Dram,410.088,12,,true,true,system
ANG,Netherlands Antillean Guilder,1.78348,57,,true,true,system
AOA,Angolan Kwanza,98.845423,5,,true,true,system
ARS,Argentine Peso,8.4907959,11,,true,true,system
AUD,Australian Dollar,1.1364829,17,,true,true,system
AWG,Aruban Florin,1.79,3,,true,true,system
AZN,Azerbaijani Manat,0.78413297,19,,true,true,system
BAM,Bosnia-Herzegovina Convertible Mark,1.536073,29,,true,true,system
BBD,Barbadian Dollar,2,36,,true,true,system
BDT,Bangladeshi Taka,77.48635,25,,true,true,system
BGN,Bulgarian Lev,1.535377,26,,true,true,system
BHD,Bahraini Dinar,0.3770049,27,,true,true,system
BIF,Burundian Franc,1566.6513,20,,true,true,system
BMD,Bermudan Dollar,1,33,$,true,true,system
BND,Brunei Dollar,1.274172,37,,true,true,system
BOB,Bolivian Boliviano,6.922598,34,,true,true,system
BRL,Brazilian Real,2.467782,35,,true,true,system
BSD,Bahamian Dollar,1,28,,true,true,system
BTN,Bhutanese Ngultrum,61.31471,38,,true,true,system
BWP,Botswanan Pula,9.122408,40,,true,true,system
BYR,Belarusian Ruble,10698.11667,31,,true,true,system
BZD,Belize Dollar,2.001599,21,,true,true,system
CDF,Congolese Franc,923.8838,49,,true,true,system
CHF,Swiss Franc,0.94722,43,,true,true,system
CLF,Chilean Unit of Account (UF),0.02402,44,,true,true,system
CLP,Chilean Peso,583.712205,44,,true,true,system
CNY,Chinese Yuan,6.126388,45,,true,true,system
COP,Colombian Peso,2060.75,51,,true,true,system
CRC,Costa Rican Colon,539.8881,54,,true,true,system
CUP,Cuban Peso,1.0017,55,,true,true,system
CVE,Cape Verdean Escudo,86.038025,53,,true,true,system
CYP,Cypriot Pound,0.51685,59,,true,true,system
CZK,Czech Republic Koruna,21.652799,60,,true,true,system
DJF,Djiboutian Franc,179.49456,62,,true,true,system
DKK,Danish Krone,5.845723,64,,true,true,system
DOP,Dominican Peso,43.674889,65,,true,true,system
