id, currency_code, currency_name, exchange_rate_to_usd, country_code, symbol, active, allow_updated_from_web, created_by
1,CAD,Canadian Dollar,0.76,1,$,false,true,system
2,USD,US Dollar,1,2,$,true,true,system
3,AED,United Arab Emirates Dirham,3.67268,10,د.إ,false,true,system
4,AFN,Afghan Afghani,57.392301,4,؋,false,true,system
5,ALL,Albanian Lek,109.3524,8,Lek,false,true,system
6,AMD,Armenian Dram,410.088,12,$ ,false,true,system
7,ANG,Netherlands Antillean Guilder,1.78348,57,ƒ,false,true,system
8,AOA,Angolan Kwanza,98.845423,5,$ ,false,true,system
9,ARS,Argentine Peso,8.4907959,11,$,false,true,system
10,AUD,Australian Dollar,1.1364829,17,$,false,true,system
11,AWG,Aruban Florin,1.79,3,ƒ,false,true,system
12,AZN,Azerbaijani Manat,0.78413297,19,ман,false,true,system
13,BAM,Bosnia-Herzegovina Convertible Mark,1.536073,29,KM,false,true,system
14,BBD,Barbadian Dollar,2,36,$,false,true,system
15,BDT,Bangladeshi Taka,77.48635,25,$ ,false,true,system
16,BGN,Bulgarian Lev,1.535377,26,лв,false,true,system
17,BHD,Bahraini Dinar,0.3770049,27,$ ,false,true,system
18,BIF,Burundian Franc,1566.6513,20,$ ,false,true,system
19,BMD,Bermudan Dollar,1,33,$,false,true,system
20,BND,Brunei Dollar,1.274172,37,$,false,true,system
21,BOB,Bolivian Boliviano,6.922598,34,$b,false,true,system
22,BRL,Brazilian Real,2.467782,35,R$,false,true,system
23,BSD,Bahamian Dollar,1,28,$,false,true,system
24,BTN,Bhutanese Ngultrum,61.31471,38,$ ,false,true,system
25,BWP,Botswanan Pula,9.122408,40,P,false,true,system
26,BYR,Belarusian Ruble,10698.11667,31,Br,false,true,system
27,BZD,Belize Dollar,2.001599,21,BZ$,false,true,system
28,CDF,Congolese Franc,923.8838,49,$ ,false,true,system
29,CHF,Swiss Franc,0.94722,43,CHF,false,true,system
30,CLF,Chilean Unit of Account (UF),0.02402,44,$ ,false,true,system
31,CLP,Chilean Peso,583.712205,44,$,false,true,system
32,CNY,Chinese Yuan,6.126388,45,¥,false,true,system
33,COP,Colombian Peso,2060.75,51,$,false,true,system
34,CRC,Costa Rican Colon,539.8881,54,₡,false,true,system
35,CUP,Cuban Peso,1.0017,55,₱,false,true,system
36,CVE,Cape Verdean Escudo,86.038025,53,$ ,false,true,system
37,CYP,Cypriot Pound,0.51685,59,$ ,false,true,system
38,CZK,Czech Republic Koruna,21.652799,60,Kč,false,true,system
39,DJF,Djiboutian Franc,179.49456,62,$ ,false,true,system
40,DKK,Danish Krone,5.845723,64,kr,false,true,system
41,DOP,Dominican Peso,43.674889,65,RD$,false,true,system
42,DZD,Algerian Dinar,83.42126,66,$ ,false,true,system
43,EEK,Estonian Kroon,12.09775,72,$ ,false,true,system
44,EGP,Egyptian Pound,7.1491319,68,£,false,true,system
45,ERN,Eritrean Nakfa,15.062575,69,$ ,false,true,system
46,ETB,Ethiopian Birr,20.052219,73,$ ,false,true,system
47,EUR,Euro,0.78553899,20,€,false,true,system
48,FJD,Fijian Dollar,1.919624,75,$,false,true,system
49,FKP,Falkland Islands Pound,0.619789,76,£,false,true,system
50,GBP,British Pound Sterling,0.619789,81,£,false,true,system
51,GEL,Georgian Lari,1.756119,82,$ ,false,true,system
52,GGP,Guernsey Pound,0.619789,83,£,false,true,system
53,GHS,Ghanaian Cedi,3.236828,84,¢,false,true,system
